User Input,Chatbot Response,Timestamp
how are you,My purpose is to assist you,2025-01-04 20:26:41
weather in chennai,You can check the weather on a weather app or website.,2025-01-04 20:26:52
what is your name,My name is Chatbot.,2025-01-04 20:27:21
tell me a joke,Why donâ€™t scientists trust atoms? Because they make up everything!,2025-01-04 20:27:32
how do i create a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment.",2025-01-04 20:28:20
weather in chennai,"Temperature: 25.37°C
Weather: mist
Humidity: 79%",2025-01-04 21:23:15
how are you,My purpose is to assist you,2025-01-04 21:23:31
whats your name,You can call me Chatbot.,2025-01-04 21:23:44
weather in kanya kumari,Error: City not found or issue with API.,2025-01-04 21:24:02
weather in Pune,"Temperature: 21.48°C
Weather: clear sky
Humidity: 25%",2025-01-04 21:24:15
tell me a joke,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2025-01-04 21:24:30
im angry,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-01-04 21:24:47
i'm angry,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-04 21:24:56
weather in Trivallur,Error: City not found or issue with API.,2025-01-04 21:26:49
weather in Dindugal,Error: City not found or issue with API.,2025-01-04 21:27:05
weather in Goa,"Temperature: 25.21°C
Weather: broken clouds
Humidity: 55%",2025-01-04 21:27:16
weather in chennai,"Temperature: 25.37°C
Weather: mist
Humidity: 79%",2025-01-04 21:51:34
how are you,I am a chatbot,2025-01-04 21:51:49
tell me a joke,Why don't skeletons fight each other? They don't have the guts!,2025-01-04 21:52:00
